municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
Biquinhas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Biquinhas;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Boa Esperança;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Boa Esperança;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Boa Esperança;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bocaina de Minas;;Matrizes tradicionais do Forró;Não informado;FEDERAL;RI *12;
Bocaina de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bocaiúva;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bocaiúva;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Bocaiúva;;Sistema agrícola de apanhadores de Sempre-Vivas;Não informado;ESTADUAL;RI *13;
Bocaiúva;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bom Despacho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bom Despacho;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Bom Despacho;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Bom Despacho;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bom Jardim de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bom Jardim de Minas;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Bom Jardim de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Bom Jesus da Penha;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bom Jesus da Penha;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Bom Jesus da Penha;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bom Jesus do Amparo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bom Jesus do Amparo;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Bom Jesus do Galho;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Bom Repouso;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Bom Repouso;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bom Sucesso;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bom Sucesso;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bonfim;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bonfim;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Bonfim;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bonfinópolis de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bonfinópolis de Minas;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Bonfinópolis de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bonito de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bonito de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Borda da Mata;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Borda da Mata;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Botelhos;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Botelhos;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Botumirim;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Botumirim;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Brás Pires;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Brasilândia de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Brasilândia de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Brasília de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Brazópolis;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Brazópolis;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Brumadinho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Brumadinho;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Brumadinho;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bueno Brandão;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Bueno Brandão;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Buenópolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Buenópolis;;Sistema agrícola de apanhadores de Sempre-Vivas;Não informado;ESTADUAL;RI *13;
Buenópolis;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Bugre;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Buritis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Buritis;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Buritis;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Buritizeiro;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Buritizeiro;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Buritizeiro;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Buritizeiro;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cabeceira Grande;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cabeceira Grande;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Cabeceira Grande;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cabo Verde;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cachoeira da Prata;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cachoeira da Prata;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cachoeira de Pajeú;;Arte em barro do Jequitinhonha;Não informado;ESTADUAL;RI *10;
Cachoeira de Pajeú;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cachoeira de Pajeú;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cachoeira de Pajeú;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Cachoeira de Pajeú;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cachoeira Dourada;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cachoeira Dourada;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cachoeira Dourada;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caetanópolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Caetanópolis;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Caetanópolis;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caeté;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Caeté;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Caeté;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caiana;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Caiana;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cajuri;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cajuri;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cajuri;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caldas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Caldas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Caldas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Camacho;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Camanducaia;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Camanducaia;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cambuí;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cambuquira;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cambuquira;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Campanário;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campanha;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campanha;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Campanha;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Campestre;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campestre;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Campina Verde;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Campo Azul;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campo Azul;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Campo Belo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campo Belo;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Campo Belo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Campo do Meio;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campo do Meio;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Campo Florido;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campo Florido;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Campo Florido;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Campo Florido;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Campos Altos;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Campos Altos;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Campos Altos;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Campos Altos;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cana Verde;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Canaã;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Canápolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Canápolis;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Canápolis;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Canápolis;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Candeias;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Candeias;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Candeias;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caparaó;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Caparaó;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Capelinha;;Arte em barro do Jequitinhonha;Não informado;ESTADUAL;RI *10;
Capelinha;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Capelinha;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Capelinha;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Capim Branco;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Capinópolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Capitão Andrade;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Capitão Enéas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Capitólio;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Capitólio;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Capitólio;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caputira;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caraí;;Arte em barro do Jequitinhonha;Não informado;ESTADUAL;RI *10;
Caraí;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Caraí;;Matrizes tradicionais do Forró;Não informado;FEDERAL;RI *12;
Carandaí;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carangola;;Jongo do Sudeste;Não informado;FEDERAL;RI *6;
Carangola;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carangola;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Carangola;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caratinga;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Caratinga;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carbonita;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carbonita;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carbonita;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carlos Chagas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carlos Chagas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmésia;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmésia;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmésia;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Carmésia;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmo da Cachoeira;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmo da Cachoeira;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmo da Cachoeira;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmo da Mata;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmo da Mata;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmo de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmo de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmo de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmo do Cajuru;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmo do Cajuru;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmo do Cajuru;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmo do Paranaíba;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmo do Paranaíba;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Carmo do Paranaíba;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmo do Paranaíba;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Carmo do Paranaíba;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmo do Rio Claro;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmo do Rio Claro;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmo do Rio Claro;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carmópolis de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carmópolis de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carmópolis de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carneirinho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carneirinho;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Carneirinho;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carrancas;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Carrancas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Carrancas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carvalhópolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carvalhos;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Carvalhos;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Carvalhos;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Casa Grande;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Casa Grande;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cascalho Rico;;Modos de fazer o queijo Minas artesanal;Não informado;FEDERAL;RI *4;
Cascalho Rico;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Cascalho Rico;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cássia;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cássia;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Cássia;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cataguases;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cataguases;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Catas Altas;;Linguagem dos sinos;Não informado;FEDERAL;RI *3;
Catas Altas;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Catas Altas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Catas Altas;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Catas Altas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Catas Altas da Noruega;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Catuji;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Catuji;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Catuti;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Catuti;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Caxambu;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Caxambu;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Caxambu;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cedro do Abaeté;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cedro do Abaeté;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Cedro do Abaeté;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Central de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Central de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Central de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Centralina;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Centralina;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Centralina;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Chalé;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Chapada do Norte;;Arte em Barro do Jequitinhonha;Não informado;ESTADUAL;RI *10;
Chapada do Norte;;Festa de Nossa Senhora do Rosário dos Homens Pretos de Chapada do Norte (Celebrações);Não informado;ESTADUAL;RI*;
Chapada do Norte;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Chapada do Norte;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Chapada do Norte;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Chapada do Norte;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Chapada Gaúcha;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Chapada Gaúcha;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Chapada Gaúcha;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Chiador;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cipotânea;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cipotânea;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Claraval;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Claraval;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Claro dos Poções;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Claro dos Poções;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Claro dos Poções;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cláudio;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cláudio;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Coimbra;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Coimbra;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Coluna;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Coluna;;Modo de Fazer o Queijo Artesanal da Região do Serro;Não informado;ESTADUAL;RI *5;
Coluna;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Coluna;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Coluna;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Coluna;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Comercinho;;Arte em Barro do Jequitinhonha;Não informado;ESTADUAL;RI *10;
Comercinho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Comercinho;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição da Aparecida;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição da Aparecida;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição da Aparecida;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conceição da Barra de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição da Barra de Minas;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Conceição das Alagoas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição das Alagoas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição das Alagoas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conceição das Pedras;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição das Pedras;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conceição de Ipanema;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição do Mato Dentro;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição do Mato Dentro;;Jongo do Sudeste;Não informado;FEDERAL;RI *6;
Conceição do Mato Dentro;;Modo de Fazer o Queijo Artesanal da Região do Serro;Não informado;ESTADUAL;RI *5;
Conceição do Mato Dentro;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Conceição do Mato Dentro;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição do Mato Dentro;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Conceição do Mato Dentro;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conceição do Pará;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição do Rio Verde;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conceição do Rio Verde;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição dos Ouros;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conceição dos Ouros;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cônego Marinho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cônego Marinho;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cônego Marinho;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Confins;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Congonhal;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Congonhas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Congonhas;;Linguagem dos sinos;Não informado;FEDERAL;RI *3;
Congonhas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Congonhas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Congonhas do Norte;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Congonhas do Norte;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conquista;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conquista;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Conquista;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conselheiro Lafaiete;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Conselheiro Lafaiete;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Conselheiro Lafaiete;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Conselheiro Pena;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Conselheiro Pena;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Consolação;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Consolação;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Contagem;;Comunidade dos Arturos (Lugares);Não informado;ESTADUAL;RI*;
Contagem;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Contagem;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Contagem;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Coqueiral;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Coração de Jesus;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Coração de Jesus;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Coração de Jesus;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Coração de Jesus;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Cordisburgo;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Cordisburgo;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Cordisburgo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Corinto;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Coroaci;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Coroaci;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Coromandel;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Coromandel;;Matrizes Tradicionais do Forró;Não informado;FEDERAL;RI *12;
Coromandel;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Coromandel;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Coromandel;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Coromandel;;Violas de Minas;Não informado;ESTADUAL;RI *9;
